1.980e+02,4.728e-241
2.023e+02,,1.204e-20
2.023e+02,,1.237e-20
2.023e+02,,1.271e-20
2.024e+02,,1.305e-20
2.024e+02,,1.339e-20
2.024e+02,,1.375e-20
2.024e+02,,1.410e-20
2.024e+02,,1.446e-20
2.025e+02,,1.483e-20
2.025e+02,,1.520e-20
2.025e+02,,1.558e-20
2.025e+02,,1.596e-20
2.025e+02,,1.635e-20
2.026e+02,,1.674e-20
2.026e+02,,1.714e-20
2.026e+02,,1.755e-20
2.026e+02,,1.796e-20
2.026e+02,,1.839e-20
2.027e+02,,1.882e-20
2.027e+02,,1.925e-20
2.027e+02,,1.970e-20
2.027e+02,,2.016e-20
2.027e+02,,2.062e-20
2.028e+02,,2.109e-20
2.028e+02,,2.157e-20
2.028e+02,,2.205e-20
2.028e+02,,2.255e-20
2.028e+02,,2.304e-20
2.029e+02,,2.355e-20
2.029e+02,,2.406e-20
2.029e+02,,2.458e-20
2.029e+02,,2.511e-20
2.029e+02,,2.564e-20
2.030e+02,,2.618e-20
2.030e+02,,2.673e-20
2.030e+02,,2.729e-20
2.030e+02,,2.786e-20
2.030e+02,,2.845e-20
2.031e+02,,2.904e-20
2.031e+02,,2.965e-20
2.031e+02,,3.027e-20
2.031e+02,,3.090e-20
2.031e+02,,3.154e-20
2.032e+02,,3.220e-20
2.032e+02,,3.287e-20
2.032e+02,,3.355e-20
2.032e+02,,3.424e-20
2.032e+02,,3.495e-20
2.033e+02,,3.567e-20
2.033e+02,,3.641e-20
2.033e+02,,3.715e-20
2.033e+02,,3.792e-20
2.033e+02,,3.869e-20
2.034e+02,,3.949e-20
2.034e+02,,4.030e-20
2.034e+02,,4.112e-20
2.034e+02,,4.196e-20
2.034e+02,,4.282e-20
2.035e+02,,4.370e-20
2.035e+02,,4.459e-20
2.035e+02,,4.551e-20
2.035e+02,,4.645e-20
2.035e+02,,4.741e-20
2.036e+02,,4.839e-20
2.036e+02,,4.939e-20
2.036e+02,,5.041e-20
2.036e+02,,5.146e-20
2.036e+02,,5.253e-20
2.037e+02,,5.363e-20
2.037e+02,,5.475e-20
2.037e+02,,5.591e-20
2.037e+02,,5.709e-20
2.037e+02,,5.831e-20
2.038e+02,,5.955e-20
2.038e+02,,6.081e-20
2.038e+02,,6.211e-20
2.038e+02,,6.343e-20
2.038e+02,,6.478e-20
2.039e+02,,6.617e-20
2.039e+02,,6.760e-20
2.039e+02,,6.907e-20
2.039e+02,,7.059e-20
2.039e+02,,7.217e-20
2.040e+02,,7.380e-20
2.040e+02,,7.548e-20
2.040e+02,,7.721e-20
2.040e+02,,7.899e-20
2.040e+02,,8.081e-20
2.041e+02,,8.269e-20
2.041e+02,,8.461e-20
2.041e+02,,8.659e-20
2.041e+02,,8.864e-20
2.041e+02,,9.077e-20
2.042e+02,,9.297e-20
2.042e+02,,9.527e-20
2.042e+02,,9.766e-20
2.042e+02,,1.002e-19
2.042e+02,,1.027e-19
2.043e+02,,1.054e-19
2.043e+02,,1.082e-19
2.043e+02,,1.111e-19
2.043e+02,,1.140e-19
2.043e+02,,1.171e-19
2.044e+02,,1.203e-19
2.044e+02,,1.236e-19
2.044e+02,,1.270e-19
2.044e+02,,1.306e-19
2.044e+02,,1.344e-19
2.045e+02,,1.384e-19
2.045e+02,,1.427e-19
2.045e+02,,1.471e-19
2.045e+02,,1.518e-19
2.045e+02,,1.567e-19
2.046e+02,,1.619e-19
2.046e+02,,1.674e-19
2.046e+02,,1.732e-19
2.046e+02,,1.792e-19
2.046e+02,,1.857e-19
2.047e+02,,1.925e-19
2.047e+02,,1.997e-19
2.047e+02,,2.075e-19
2.047e+02,,2.158e-19
2.047e+02,,2.247e-19
2.048e+02,,2.343e-19
2.048e+02,,2.448e-19
2.048e+02,,2.562e-19
2.048e+02,,2.686e-19
2.048e+02,,2.822e-19
2.049e+02,,2.972e-19
2.049e+02,,3.138e-19
2.049e+02,,3.323e-19
2.049e+02,,3.531e-19
2.049e+02,,3.767e-19
2.050e+02,,4.037e-19
2.050e+02,,4.348e-19
2.050e+02,,4.711e-19
2.050e+02,,5.137e-19
2.050e+02,,5.642e-19
2.051e+02,,6.242e-19
2.051e+02,,6.956e-19
2.051e+02,,7.804e-19
2.051e+02,,8.807e-19
2.051e+02,,9.983e-19
2.052e+02,,1.135e-18
2.052e+02,,1.292e-18
2.052e+02,,1.469e-18
2.052e+02,,1.667e-18
2.052e+02,,1.884e-18
2.053e+02,,2.119e-18
2.053e+02,,2.368e-18
2.053e+02,,2.629e-18
2.053e+02,,2.898e-18
2.053e+02,,3.172e-18
2.054e+02,,3.447e-18
2.054e+02,,3.720e-18
2.054e+02,,3.990e-18
2.054e+02,,4.252e-18
2.054e+02,,4.505e-18
2.055e+02,,4.748e-18
2.055e+02,,4.978e-18
2.055e+02,,5.193e-18
2.055e+02,,5.393e-18
2.055e+02,,5.575e-18
2.056e+02,,5.740e-18
2.056e+02,,5.885e-18
2.056e+02,,6.012e-18
2.056e+02,,6.121e-18
2.056e+02,,6.213e-18
2.057e+02,,6.289e-18
2.057e+02,,6.352e-18
2.057e+02,,6.403e-18
2.057e+02,,6.445e-18
2.057e+02,,6.479e-18
2.058e+02,,6.508e-18
2.058e+02,,6.534e-18
2.058e+02,,6.557e-18
2.058e+02,,6.578e-18
2.058e+02,,6.598e-18
2.059e+02,,6.618e-18
2.059e+02,,6.637e-18
2.059e+02,,6.656e-18
2.059e+02,,6.675e-18
2.059e+02,,6.693e-18
2.060e+02,,6.711e-18
2.060e+02,,6.728e-18
2.060e+02,,6.744e-18
2.060e+02,,6.758e-18
2.060e+02,,6.771e-18
2.061e+02,,6.782e-18
2.061e+02,,6.790e-18
2.061e+02,,6.796e-18
2.061e+02,,6.800e-18
2.061e+02,,6.800e-18
2.062e+02,,6.797e-18
2.062e+02,,6.791e-18
2.062e+02,,6.782e-18
2.062e+02,,6.773e-18
2.062e+02,,6.762e-18
2.063e+02,,6.751e-18
2.063e+02,,6.742e-18
2.063e+02,,6.735e-18
2.063e+02,,6.731e-18
2.063e+02,,6.730e-18
2.064e+02,,6.732e-18
2.064e+02,,6.736e-18
2.064e+02,,6.742e-18
2.064e+02,,6.750e-18
2.064e+02,,6.758e-18
2.065e+02,,6.766e-18
2.065e+02,,6.776e-18
2.065e+02,,6.787e-18
2.065e+02,,6.799e-18
2.065e+02,,6.815e-18
2.066e+02,,6.834e-18
2.066e+02,,6.857e-18
2.066e+02,,6.884e-18
2.066e+02,,6.914e-18
2.066e+02,,6.945e-18
2.067e+02,,6.978e-18
2.067e+02,,7.008e-18
2.067e+02,,7.036e-18
2.067e+02,,7.059e-18
2.067e+02,,7.077e-18
2.068e+02,,7.088e-18
2.068e+02,,7.092e-18
2.068e+02,,7.090e-18
2.068e+02,,7.083e-18
2.068e+02,,7.071e-18
2.069e+02,,7.057e-18
2.069e+02,,7.043e-18
2.069e+02,,7.030e-18
2.069e+02,,7.020e-18
2.069e+02,,7.014e-18
2.070e+02,,7.014e-18
2.070e+02,,7.020e-18
2.070e+02,,7.033e-18
2.070e+02,,7.051e-18
2.070e+02,,7.073e-18
2.071e+02,,7.098e-18
2.071e+02,,7.125e-18
2.071e+02,,7.151e-18
2.071e+02,,7.174e-18
2.071e+02,,7.195e-18
2.072e+02,,7.211e-18
2.072e+02,,7.223e-18
2.072e+02,,7.232e-18
2.072e+02,,7.237e-18
2.072e+02,,7.240e-18
2.073e+02,,7.241e-18
